# Phase 2 source-word exclusion list. One word per line: word, reason.
# A crown candidate listed here cannot headline a day (it stays a
# valid, scorable find). reason is pure-inflection, degree-form, or
# past-tense-dual. Hand-editable: strike a line to re-admit a word
# (for example re-add stranger), or add a line to exclude one.
# Derived from Wiktionary form_of tags over the pre-cull crown pool.
# Future-growth caveat: if the source pool is widened (for example
# SCOWL band 35), re-run the derivation to extend this list.
word	reason
absorbed	past-tense-dual
accepted	past-tense-dual
adhering	pure-inflection
analyses	pure-inflection
archives	pure-inflection
breathed	past-tense-dual
brothers	pure-inflection
children	pure-inflection
clearest	pure-inflection
confused	past-tense-dual
criteria	pure-inflection
degraded	past-tense-dual
demented	past-tense-dual
deranged	past-tense-dual
disabled	past-tense-dual
educated	past-tense-dual
featured	past-tense-dual
forgiven	pure-inflection
imagines	pure-inflection
inclined	past-tense-dual
informed	past-tense-dual
inspired	past-tense-dual
involved	past-tense-dual
isolated	past-tense-dual
matrices	pure-inflection
narrower	degree-form
outdated	past-tense-dual
portions	pure-inflection
prepared	past-tense-dual
regarded	past-tense-dual
reserves	pure-inflection
slighter	degree-form
stranger	degree-form
stronger	degree-form
students	pure-inflection
troubles	pure-inflection
underlay	past-tense-dual
variants	pure-inflection
